gene1,gene2
GNA11,GNGT2
GNA11,GNB1
GNA11,GNGT1
GNA11,PLCB4
GNA11,GNG13
GNA11,PLCB2
GNA11,GNB4
GNA11,GNB2
GNA11,PLCB3
GNA11,GNG3
GNA11,GNG12
GNA11,GNG10
GNA11,GNB3
GNA11,PLCB1
KCNQ1,CALM3
KCNQ1,KCNJ2
KCNQ1,CALM1
KCNQ1,CALM2
PPP2R5B,PPP2R1A
PPP2R5B,PPP2R5C
PPP2R5B,PPP2R1B
PPP2R5B,PPP2CB
PPP2R5B,PPP2R5D
PPP2R5B,PPP2CA
MAPK13,ATF2
MAPK13,MAPK12
MAPK12,ATF2
MAPK12,DUSP1
MAPK12,MAPK13
MAPK1,PPP2CA
MAPK1,GNAI3
MAPK1,CREB1
MAPK1,MAP2K1
MAPK1,SRC
MAPK1,PTGS2
MAPK1,RAF1
MAPK1,ATF2
MAPK1,DUSP1
MAPK1,FOS
MAPK1,PLD2
MAPK1,BCL2
MAPK1,GNAO1
MAPK1,KRAS
MAPK1,GNAI1
MAPK1,BRAF
MAPK1,NRAS
MAPK1,ARRB2
MAPK1,HRAS
MAPK1,MAPK3
MAPK1,FYN
MAPK1,PLA2G4A
SLC32A1,SLC17A6
SLC32A1,SLC17A7
SLC32A1,GAD1
SLC32A1,GAD2
PPP2CB,PPP2R2B
PPP2CB,PPP2R2C
PPP2CB,PPP2R1A
PPP2CB,PPP2CA
PPP2CB,PPP2R2D
PPP2CB,PPP2R2A
PPP2CB,PPP2R1B
PPP2CB,PPP2R5C
PPP2CB,PPP2R5A
PPP2CB,PPP2R5E
PPP2CB,PPP2R5D
PPP2CB,PPP2R5B
SLC17A7,SLC32A1
PIK3R2,PIK3CA
PIK3R2,PIK3CB
GSK3A,AKT2
GSK3A,AKT3
GSK3A,AKT1
GNB3,MAPK14
GNB3,GNAI3
GNB3,GNA11
GNB3,GNAO1
GNB3,GNG7
GNB3,GNAI2
GNB3,GNGT2
GNB3,GNG5
GNB3,GNG8
GNB3,GNG2
GNB3,PLCB2
GNB3,GNAI1
GNB3,GNG3
GNB3,GNG4
GNB3,GNG11
GNB3,GNG13
GNB3,GNG10
GNB3,GRK2
GNB3,GNGT1
GNB3,GNAQ
GNB3,GNG12
MAPK14,CASP3
MAPK14,GNAO1
MAPK14,PLA2G4A
MAPK14,PTGS2
MAPK14,GNB3
MAPK14,GNB1
MAPK14,MAP2K1
MAPK14,ATF2
MAPK14,FOS
MAPK14,GNB4
MAPK14,GNAI3
MAPK14,GNB2
MAPK14,CREB1
MAPK14,DUSP1
MAPK14,GNAI1
GNB4,MAPK14
GNB4,GNG5
GNB4,PLCB2
GNB4,GNAI2
GNB4,GNGT1
GNB4,GNG10
GNB4,GNG13
GNB4,GRK2
GNB4,GNG7
GNB4,GNA11
GNB4,GNGT2
GNB4,GNG8
GNB4,GNAQ
GNB4,GNG12
GNB4,GNG11
GNB4,GNAI3
GNB4,GNG4
GNB4,GNAI1
GNB4,GNG2
GNB4,GNAO1
GNB4,GNG3
PPP3R1,PPP3CA
PPP3R1,PPP3CB
PPP3R1,PPP3CC
DUSP1,MAPK12
DUSP1,MAPK3
DUSP1,MAPK8
DUSP1,FOS
DUSP1,ATF2
DUSP1,MAPK14
DUSP1,MAPK11
DUSP1,MAPK1
PPP3CC,PPP3R1
PPP3CC,PPP3CA
PPP3CC,CAMK2B
PPP3CC,CALM3
PPP3CC,CALM2
PPP3CC,CALM1
PPP3CC,PPP3CB
PPP3CC,PPP3R2
KCNJ2,KCNQ1
GNG13,GNB3
GNG13,GNGT1
GNG13,GNG12
GNG13,GNA11
GNG13,GNGT2
GNG13,GNG3
GNG13,GNG10
GNG13,PLCB2
GNG13,GNAO1
GNG13,GNG4
GNG13,GNB2
GNG13,GNB1
GNG13,GNB4
GNG11,GNB3
GNG11,GNB4
GNG11,GNG4
GNG11,GNB2
GNG11,GNAI3
GNG11,GNB1
GNG11,GNAI1
GNG11,GNG10
GNGT1,GNB5
GNGT1,GNAO1
GNGT1,GNB3
GNGT1,GNAS
GNGT1,GNB4
GNGT1,GNA11
GNGT1,GNB1
